,name,symbol,price,marcaps,crypto_1h,crypto_24h,crypto_7d,vol_24_d,vol_24_s,circ_supply,image,link
0,Bitcoin,BTC,"$28,530.75","$551,524,539,076",0.14%,0.89%,0.74%,"$15,979,058,051","560,165 BTC","19,337,731 BTC",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,https://coinmarketcap.com/currencies/bitcoin/
1,Ethereum,ETH,"$1,911.17","$230,113,095,679",0.08%,4.22%,5.35%,"$11,159,756,976","5,843,112 ETH","120,457,776 ETH",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,https://coinmarketcap.com/currencies/ethereum/
2,Tether,USDT,$1.00,"$80,022,775,108",0.01%,0.01%,0.04%,"$29,464,440,152","29,458,375,077 USDT","80,004,564,803 USDT",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,https://coinmarketcap.com/currencies/tether/
3,BNB,BNB,$315.01,"$49,732,911,628",0.04%,1.37%,0.87%,"$597,421,005","1,896,531 BNB","157,887,533 BNB",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,https://coinmarketcap.com/currencies/bnb/
4,USD Coin,USDC,$0.9998,"$32,690,368,972",0.01%,0.01%,0.02%,"$4,116,294,666","4,117,061,142 USDC","32,695,097,292 USDC",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,https://coinmarketcap.com/currencies/usd-coin/
5,XRP,XRP,$0.516,"$26,649,613,076",0.43%,3.75%,9.25%,"$1,383,918,116","2,680,117,662 XRP","51,649,390,115 XRP",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,https://coinmarketcap.com/currencies/xrp/
6,Cardano,ADA,$0.3961,"$13,774,251,889",0.10%,0.67%,1.98%,"$366,746,092","925,847,372 ADA","34,754,504,451 ADA",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,https://coinmarketcap.com/currencies/cardano/
7,Dogecoin,DOGE,$0.09703,"$13,469,947,536",0.10%,4.44%,27.68%,"$2,245,894,554","23,166,242,062 DOGE","138,811,916,384 DOGE",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,https://coinmarketcap.com/currencies/dogecoin/
8,Polygon,MATIC,$1.15,"$10,444,190,258",0.18%,3.55%,0.91%,"$378,336,886","328,910,167 MATIC","9,080,469,069 MATIC",https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,https://coinmarketcap.com/currencies/polygon/
9,Solana,SOL,$21.19,"$8,205,032,339",0.16%,2.20%,0.08%,"$335,688,211","15,830,561 SOL","387,182,263 SOL",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,https://coinmarketcap.com/currencies/solana/
10,Polkadot,DOT,$6.53,"$7,662,350,782",0.11%,1.25%,4.37%,"$201,749,894","30,911,137 DOT","1,173,220,519 DOT",https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,https://coinmarketcap.com/currencies/polkadot-new/
11,Binance USD,BUSD,$1.00,"$7,289,800,578",0.06%,0.08%,0.08%,"$3,004,542,703","3,003,091,378 BUSD","7,290,280,643 BUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png,https://coinmarketcap.com/currencies/binance-usd/
12,Litecoin,LTC,$94.61,"$6,871,103,791",0.21%,1.81%,2.78%,"$536,931,797","5,675,387 LTC","72,636,702 LTC",https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,https://coinmarketcap.com/currencies/litecoin/
